"doc_id","text","pol_account","id","date","context","issue","policy_flag","stance","annotator","annotated_at","selected_at","uncertainty","not_sentence","draft_flag","issue2","uncertainty2","stance2"
"text1375381.1","I look forward to working with @trussliz and colleagues across Government on the many pressing issues we face.","BrandonLewis",1567224228801384448,"2022-09-06T18:52:28Z","I look forward to working with @trussliz and colleagues across Government on the many pressing issues we face. I will work tirelessly to protect the public from serious offenders, improve the safety of our prisons, reduce reoffending and deliver swift access to justice for all.",NA,NA,NA,NA,NA,"2026-03-30 12:22:03.225916",NA,NA,NA,NA,NA,NA
"text1485659.4","Welcome to ⁦@wardyscycles⁩ who recently moved from Darlaston.","patmcfaddenmp",1550750374495125504,"2022-07-23T07:51:15Z","Bilston’s newest bike shop is open!  New bikes, repairs, servicing and conversion to electric.  It’s all here.  Welcome to ⁦@wardyscycles⁩ who recently moved from Darlaston.  They’re just behind the Robin 2. https://t.co/BXWoYZu8VH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text856205.2","A true giant of 20th century politics who as Chancellor famously sought…","Bren4Bassetlaw",1643004721962053632,"2023-04-03T21:37:05Z","RT @trussliz: Incredibly sad to hear of the death of Nigel Lawson. A true giant of 20th century politics who as Chancellor famously sought…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1188673.1","Military solutions, imposed either by Russia, or NATO, will only prolong the suffering, displacement and death of ordinary people who have for too long been paying the collateral price of the geopolitical interests of others","ChrisHazzardSF",1496826491576979456,"2022-02-24T12:36:59Z","Military solutions, imposed either by Russia, or NATO, will only prolong the suffering, displacement and death of ordinary people who have for too long been paying the collateral price of the geopolitical interests of others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1588630.1","@sanders1_doug Not too keen on wearing mixed fabrics or tattoos either.","MrJohnNicolson",1629975101729849344,"2023-02-26T22:42:02Z","@sanders1_doug Not too keen on wearing mixed fabrics or tattoos either.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1814934.2","I expressed my sincere condolences for his loss and pledged my support on his accession to the throne. https://t.co/3Ya6K4ZizA","Keir_Starmer",1568686435246686208,"2022-09-10T19:42:45Z","It was an honour and a privilege to speak with His Majesty King Charles III today.

I expressed my sincere condolences for his loss and pledged my support on his accession to the throne. https://t.co/3Ya6K4ZizA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1188894.2","There will instead be the usual gang of satellite scribes &amp; reactionary revisionists.","ChrisHazzardSF",1460177661158899712,"2021-11-15T09:27:37Z","There won’t be a single reputable historian associated with the Tory Party’s “official history” project.

There will instead be the usual gang of satellite scribes &amp; reactionary revisionists.

You know them. They feature regularly in the media.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text1515129.1","Thank you for sharing the stories and ideas from across the frontline sector and to @PhilipDaviesUK for hosting us all","HuwMerriman",1365039217546579968,"2021-02-25T20:41:25Z","Thank you for sharing the stories and ideas from across the frontline sector and to @PhilipDaviesUK for hosting us all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text944123.1","This government's flagship Levelling Up policy and this is what's happening.....","ThangamMP",1544813648031399936,"2022-07-06T22:40:49Z","This government's flagship Levelling Up policy and this is what's happening.....",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"text696661.3","Now is your chance to have your say on what could be improved.  https://t.co/JtKcFBVMES","DrRosena",1539229360841973760,"2022-06-21T12:50:51Z","A new survey has been launched by @YoungMindsUK to listen to parents' experiences of CAMHS.

From my experiences of listening to young people, I know that CAMHS is often difficult to access. Now is your chance to have your say on what could be improved.

https://t.co/JtKcFBVMES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
